KVM Usage Type,VM Count,Container Host Usage,Container Count,Free Guest Slots Count,Free Memory,Free Cores
SHARED_CPU_CORES,5,-,0,9,76,-
SHARED_CPU_CORES,2,-,0,-,12,-
SHARED_CPU_CORES,4,-,0,11,68,-
SHARED_CPU_CORES,1,-,0,15,108,-
SHARED_CPU_CORES,2,-,0,7,68,-
DEDICATED_CPU_CORES,1,-,0,-,56,24
SHARED_CPU_CORES,-,-,0,12,120,-
SHARED_CPU_CORES,2,-,0,13,92,-
SHARED_CPU_CORES,7,-,0,-,56,-
SHARED_CPU_CORES,-,-,0,-,28,-
SHARED_CPU_CORES,5,-,0,11,64,-
SHARED_CPU_CORES,2,-,0,6,72,-
SHARED_CPU_CORES,7,-,0,23,142,-
SHARED_CPU_CORES,5,-,0,23,192,-
REDIS_HOST,6,-,0,19,148,64
SHARED_CPU_CORES,3,-,0,2,12,-
SHARED_CPU_CORES,-,-,0,-,-,-
SHARED_CPU_CORES,-,-,0,12,60,-
SHARED_CPU_CORES,-,-,0,9,28,-
SHARED_CPU_CORES,-,-,0,-,-,-
SHARED_CPU_CORES,-,-,0,-,-,-
SHARED_CPU_CORES,2,-,0,12,36,-
SHARED_CPU_CORES,3,-,0,9,80,-
SHARED_CPU_CORES,-,-,0,2,120,-
SHARED_CPU_CORES,3,-,0,-,-,-
SHARED_CPU_CORES,7,-,0,-,-,-
SHARED_CPU_CORES,-,-,0,-,-,-
SHARED_CPU_CORES,3,-,0,-,-,-
SHARED_CPU_CORES,13,-,0,-,-,-
SHARED_CPU_CORES,2,-,0,-,87,-
-,-,-,0,-,240,-
SHARED_CPU_CORES,1,-,0,11,112,-
SHARED_CPU_CORES,18,-,0,3,44,-
SHARED_CPU_CORES,-,-,0,-,-,-
SHARED_CPU_CORES,7,-,0,9,61,-
SHARED_CPU_CORES,-,-,0,-,56,-
SHARED_CPU_CORES,1,-,0,14,116,-
SHARED_CPU_CORES,10,-,0,11,74,-
SHARED_CPU_CORES,11,-,0,15,121,-
SHARED_CPU_CORES,8,-,0,13,148,-
SHARED_CPU_CORES,3,-,0,14,76,-
SHARED_CPU_CORES,2,-,0,9,86,-
SHARED_CPU_CORES,3,-,0,17,102,-
SHARED_CPU_CORES,2,-,0,12,106,-
SHARED_CPU_CORES,3,-,0,9,52,-
SHARED_CPU_CORES,3,-,0,8,90,-
SHARED_CPU_CORES,2,-,0,11,102,-
SHARED_CPU_CORES,2,-,0,8,90,-
SHARED_CPU_CORES,-,-,0,0,240,-
SHARED_CPU_CORES,10,-,0,3,21,-
-,-,-,0,-,120,-
SHARED_CPU_CORES,2,-,0,13,106,-
SHARED_CPU_CORES,2,-,0,13,94,-
SHARED_CPU_CORES,1,-,0,14,110,-
SHARED_CPU_CORES,3,-,0,11,73,-
SHARED_CPU_CORES,3,-,0,11,70,-
SHARED_CPU_CORES,4,-,0,8,49,-
REDIS_HOST,4,-,0,11,77,40
SHARED_CPU_CORES,20,-,0,-,41,-
TWO_SET_OF_SHARED_CPU_CORES,38,-,0,8,64,-
REDIS_HOST,3,-,0,10,86,40
SHARED_CPU_CORES,3,-,0,7,86,-
SHARED_CPU_CORES,2,-,0,6,66,-
SHARED_CPU_CORES,2,-,0,8,82,-
SHARED_CPU_CORES,3,-,0,7,50,-
SHARED_CPU_CORES,2,-,0,7,75,-
SHARED_CPU_CORES,4,-,0,8,59,-
SHARED_CPU_CORES,1,-,0,2,60,-
SHARED_CPU_CORES,1,-,0,12,97,-
SHARED_CPU_CORES,1,-,0,3,116,-
SHARED_PLUS_DEDICATED_CPU_CORES,4,-,0,0,94,8
TWO_SET_OF_SHARED_CPU_CORES,20,-,0,-,0,-
SHARED_CPU_CORES,3,-,0,8,96,-
SHARED_CPU_CORES,-,-,0,-,104,-
SHARED_CPU_CORES,-,-,0,7,104,-
REDIS_HOST,5,-,0,5,56,28
-,-,-,0,4,120,-
SHARED_CPU_CORES,48,-,0,4,48,-
SHARED_CPU_CORES,-,-,0,13,109,-
SHARED_CPU_CORES,1,-,0,12,89,-
SHARED_CPU_CORES,4,-,0,11,66,-
SHARED_CPU_CORES,2,-,0,11,74,-
SHARED_CPU_CORES,-,-,0,14,101,-
SHARED_CPU_CORES,3,-,0,11,77,-
SHARED_CPU_CORES,2,-,0,13,97,-
SHARED_CPU_CORES,3,-,0,11,73,-
SHARED_CPU_CORES,6,-,0,-,61,-
SHARED_CPU_CORES,2,-,0,4,89,-
SHARED_CPU_CORES,2,-,0,4,89,-
SHARED_CPU_CORES,4,-,0,2,77,-
SHARED_CPU_CORES,3,-,0,3,81,-
SHARED_CPU_CORES,2,-,0,4,85,-
SHARED_CPU_CORES,2,-,0,12,96,-
SHARED_CPU_CORES,1,-,0,13,89,-
SHARED_CPU_CORES,24,-,0,0,145,-
SHARED_CPU_CORES,44,-,0,26,162,-
SHARED_CPU_CORES,27,-,0,5,7,-
SHARED_CPU_CORES,6,-,0,2,12,-
REDIS_HOST,-,-,0,9,80,16
SHARED_CPU_CORES,2,-,0,10,81,-
SHARED_CPU_CORES,1,-,0,11,77,-
-,-,-,0,12,44,-
TWO_SET_OF_SHARED_CPU_CORES,22,-,0,15,97,-
SHARED_CPU_CORES,7,-,0,23,92,-
SHARED_CPU_CORES,1,-,0,10,104,-
SHARED_CPU_CORES,14,-,0,13,136,-
SHARED_CPU_CORES,3,-,0,17,108,-
SHARED_CPU_CORES,3,-,0,9,88,-
TWO_SET_OF_SHARED_CPU_CORES,41,-,0,15,98,-
-,5,-,0,8,92,-
SHARED_CPU_CORES,15,-,0,-,0,-
SHARED_CPU_CORES,2,-,0,2,108,-
SHARED_CPU_CORES,1,-,0,9,73,-
SHARED_CPU_CORES,9,-,0,4,32,-
TWO_SET_OF_SHARED_CPU_CORES,36,-,0,7,71,-
SHARED_CPU_CORES,4,-,0,-,-,-
SHARED_CPU_CORES,3,-,0,-,-,-
SHARED_CPU_CORES,1,-,0,-,-,-
SHARED_CPU_CORES,3,-,0,-,-,-
SHARED_CPU_CORES,-,-,0,-,-,-
SHARED_CPU_CORES,-,-,0,-,479,-
SHARED_CPU_CORES,4,-,0,15,88,-
SHARED_CPU_CORES,4,-,0,13,76,-
SHARED_CPU_CORES,12,-,0,15,109,-
SHARED_CPU_CORES,11,-,0,16,93,-
SHARED_CPU_CORES,35,-,0,-,240,-
SHARED_CPU_CORES,50,-,0,-,120,-
SHARED_CPU_CORES,49,-,0,1,128,-
DEDICATED_CPU_CORES,1,-,0,1,12,54
TWO_SET_OF_SHARED_CPU_CORES,45,-,0,0,0,-
TWO_SET_OF_SHARED_CPU_CORES,41,-,0,0,64,-
TWO_SET_OF_SHARED_CPU_CORES,33,-,0,1,12,-
TWO_SET_OF_SHARED_CPU_CORES,38,-,0,1,28,-
FOUR_SET_OF_SHARED_CPU_CORES,32,-,0,4,16,-
FOUR_SET_OF_SHARED_CPU_CORES,41,-,0,2,40,-
FOUR_SET_OF_SHARED_CPU_CORES,40,-,0,-,171,-
SHARED_CPU_CORES,35,-,0,-,9,-
SHARED_CPU_CORES,35,-,0,-,13,-
SHARED_CPU_CORES,26,-,0,-,49,-
TWO_SET_OF_SHARED_CPU_CORES,13,-,0,15,113,-
TWO_SET_OF_SHARED_CPU_CORES,25,-,0,3,29,-
TWO_SET_OF_SHARED_CPU_CORES,20,-,0,5,53,-
TWO_SET_OF_SHARED_CPU_CORES,30,-,0,-,1,-
FOUR_SET_OF_SHARED_CPU_CORES,16,-,0,21,228,-
FOUR_SET_OF_SHARED_CPU_CORES,40,-,0,-,96,-
FOUR_SET_OF_SHARED_CPU_CORES,19,-,0,17,212,-
FOUR_SET_OF_SHARED_CPU_CORES,46,-,0,4,44,-
TWO_SET_OF_SHARED_CPU_CORES,-,-,0,32,360,-
TWO_SET_OF_SHARED_CPU_CORES,40,-,0,1,28,-
TWO_SET_OF_SHARED_CPU_CORES,44,-,0,6,9,-
TWO_SET_OF_SHARED_CPU_CORES,49,-,0,-,0,-
TWO_SET_OF_SHARED_CPU_CORES,51,-,0,4,18,-
TWO_SET_OF_SHARED_CPU_CORES,42,-,0,0,16,-
TWO_SET_OF_SHARED_CPU_CORES,39,-,0,1,10,-
TWO_SET_OF_SHARED_CPU_CORES,40,-,0,0,8,-
TWO_SET_OF_SHARED_CPU_CORES,36,-,0,5,0,-
TWO_SET_OF_SHARED_CPU_CORES,37,-,0,2,0,-
TWO_SET_OF_SHARED_CPU_CORES,38,-,0,0,0,-
TWO_SET_OF_SHARED_CPU_CORES,32,-,0,2,48,-
FOUR_SET_OF_SHARED_CPU_CORES,36,-,0,2,96,-
FOUR_SET_OF_SHARED_CPU_CORES,23,-,0,4,0,-
FOUR_SET_OF_SHARED_CPU_CORES,47,-,0,-,48,-
TWO_SET_OF_SHARED_CPU_CORES,17,-,0,8,61,-
TWO_SET_OF_SHARED_CPU_CORES,21,-,0,6,47,-
TWO_SET_OF_SHARED_CPU_CORES,30,-,0,-,1,-
FOUR_SET_OF_SHARED_CPU_CORES,21,-,0,12,138,-
FOUR_SET_OF_SHARED_CPU_CORES,17,-,0,19,236,-
FOUR_SET_OF_SHARED_CPU_CORES,50,-,0,-,20,-
TWO_SET_OF_SHARED_CPU_CORES,41,-,0,0,8,-
TWO_SET_OF_SHARED_CPU_CORES,38,-,0,3,74,-
TWO_SET_OF_SHARED_CPU_CORES,38,-,0,3,134,-
TWO_SET_OF_SHARED_CPU_CORES,50,-,0,-,143,-
TWO_SET_OF_SHARED_CPU_CORES,31,-,0,9,152,-
TWO_SET_OF_SHARED_CPU_CORES,36,-,0,2,4,-
TWO_SET_OF_SHARED_CPU_CORES,37,-,0,1,4,-
TWO_SET_OF_SHARED_CPU_CORES,38,-,0,1,14,-
TWO_SET_OF_SHARED_CPU_CORES,40,-,0,0,0,-
TWO_SET_OF_SHARED_CPU_CORES,39,-,0,1,56,-
TWO_SET_OF_SHARED_CPU_CORES,35,-,0,1,16,-
TWO_SET_OF_SHARED_CPU_CORES,23,-,0,0,8,-
FOUR_SET_OF_SHARED_CPU_CORES,31,-,0,4,40,-
FOUR_SET_OF_SHARED_CPU_CORES,35,-,0,2,10,-
FOUR_SET_OF_SHARED_CPU_CORES,20,-,0,3,120,-
FOUR_SET_OF_SHARED_CPU_CORES,18,-,0,20,63,-
TWO_SET_OF_SHARED_CPU_CORES,22,-,0,8,23,-
TWO_SET_OF_SHARED_CPU_CORES,17,-,0,9,75,-
TWO_SET_OF_SHARED_CPU_CORES,17,-,0,8,65,-
TWO_SET_OF_SHARED_CPU_CORES,15,-,0,8,65,-
TWO_SET_OF_SHARED_CPU_CORES,18,-,0,6,29,-
TWO_SET_OF_SHARED_CPU_CORES,21,-,0,4,53,-
TWO_SET_OF_SHARED_CPU_CORES,19,-,0,6,59,-
FOUR_SET_OF_SHARED_CPU_CORES,50,-,0,-,80,-
FOUR_SET_OF_SHARED_CPU_CORES,50,-,0,-,80,-
FOUR_SET_OF_SHARED_CPU_CORES,18,-,0,24,336,-
TWO_SET_OF_SHARED_CPU_CORES,-,-,0,4,240,-
TWO_SET_OF_SHARED_CPU_CORES,24,-,0,5,40,-
TWO_SET_OF_SHARED_CPU_CORES,37,-,0,2,16,-
TWO_SET_OF_SHARED_CPU_CORES,48,-,0,6,32,-
TWO_SET_OF_SHARED_CPU_CORES,46,-,0,2,36,-
TWO_SET_OF_SHARED_CPU_CORES,49,-,0,3,4,-
TWO_SET_OF_SHARED_CPU_CORES,50,-,0,-,144,-
FOUR_SET_OF_SHARED_CPU_CORES,60,-,0,-,36,-
FOUR_SET_OF_SHARED_CPU_CORES,55,-,0,5,3,-
TWO_SET_OF_SHARED_CPU_CORES,35,-,0,4,36,-
TWO_SET_OF_SHARED_CPU_CORES,37,-,0,4,12,-
TWO_SET_OF_SHARED_CPU_CORES,39,-,0,1,4,-
TWO_SET_OF_SHARED_CPU_CORES,37,-,0,1,0,-
TWO_SET_OF_SHARED_CPU_CORES,38,-,0,2,4,-
TWO_SET_OF_SHARED_CPU_CORES,39,-,0,1,-120,-
TWO_SET_OF_SHARED_CPU_CORES,38,-,0,2,52,-
TWO_SET_OF_SHARED_CPU_CORES,39,-,0,1,4,-
FOUR_SET_OF_SHARED_CPU_CORES,29,-,0,2,72,-
FOUR_SET_OF_SHARED_CPU_CORES,32,-,0,-,32,-
FOUR_SET_OF_SHARED_CPU_CORES,30,-,0,2,52,-
FOUR_SET_OF_SHARED_CPU_CORES,35,-,0,1,11,-
TWO_SET_OF_SHARED_CPU_CORES,19,-,0,4,35,-
SHARED_CPU_CORES,45,-,0,-,2,-
FOUR_SET_OF_SHARED_CPU_CORES,9,-,0,4,200,-
FOUR_SET_OF_SHARED_CPU_CORES,3,-,0,34,306,-
FOUR_SET_OF_SHARED_CPU_CORES,50,-,0,-,28,-
TWO_SET_OF_SHARED_CPU_CORES,48,-,0,2,4,-
TWO_SET_OF_SHARED_CPU_CORES,48,-,0,4,24,-
FOUR_SET_OF_SHARED_CPU_CORES,72,-,0,8,55,-
SHARED_CPU_CORES,25,-,0,8,59,-
SHARED_CPU_CORES,26,-,0,7,37,-
SHARED_CPU_CORES,24,-,0,8,59,-
SHARED_CPU_CORES,26,-,0,8,73,-
TWO_SET_OF_SHARED_CPU_CORES,38,-,0,1,4,-
TWO_SET_OF_SHARED_CPU_CORES,39,-,0,1,24,-
TWO_SET_OF_SHARED_CPU_CORES,37,-,0,3,154,-
TWO_SET_OF_SHARED_CPU_CORES,39,-,0,1,4,-
FOUR_SET_OF_SHARED_CPU_CORES,12,-,0,21,214,-
FOUR_SET_OF_SHARED_CPU_CORES,23,-,0,9,138,-
FOUR_SET_OF_SHARED_CPU_CORES,34,-,0,4,60,-
FOUR_SET_OF_SHARED_CPU_CORES,33,-,0,1,42,-
TWO_SET_OF_SHARED_CPU_CORES,38,-,0,0,28,-
FOUR_SET_OF_SHARED_CPU_CORES,32,-,0,2,53,-
FOUR_SET_OF_SHARED_CPU_CORES,40,-,0,-,216,-
FOUR_SET_OF_SHARED_CPU_CORES,49,-,0,1,156,-
TWO_SET_OF_SHARED_CPU_CORES,16,-,0,9,67,-
SHARED_CPU_CORES,45,-,0,-,2,-
FOUR_SET_OF_SHARED_CPU_CORES,1,-,0,36,356,-
FOUR_SET_OF_SHARED_CPU_CORES,50,-,0,-,32,-
TWO_SET_OF_SHARED_CPU_CORES,39,-,0,2,72,-
TWO_SET_OF_SHARED_CPU_CORES,45,-,0,5,20,-
SHARED_CPU_CORES,45,-,0,-,2,-
FOUR_SET_OF_SHARED_CPU_CORES,2,-,0,38,336,-
FOUR_SET_OF_SHARED_CPU_CORES,20,-,0,20,170,-
SHARED_PLUS_DEDICATED_CPU_CORES,3,-,0,0,194,0
DEDICATED_CPU_CORES,8,-,0,-,2,0
TWO_SET_OF_SHARED_CPU_CORES,27,-,0,0,16,-
TWO_SET_OF_SHARED_CPU_CORES,36,-,0,2,76,-
TWO_SET_OF_SHARED_CPU_CORES,47,-,0,4,30,-
TWO_SET_OF_SHARED_CPU_CORES,45,-,0,0,38,-
TWO_SET_OF_SHARED_CPU_CORES,42,-,0,6,106,-
TWO_SET_OF_SHARED_CPU_CORES,43,-,0,3,42,-
TWO_SET_OF_SHARED_CPU_CORES,44,-,0,2,50,-
TWO_SET_OF_SHARED_CPU_CORES,41,-,0,10,86,-
TWO_SET_OF_SHARED_CPU_CORES,60,-,0,1,240,-
SHARED_CPU_CORES,-,-,0,-,480,-
TWO_SET_OF_SHARED_CPU_CORES,34,-,0,10,146,-
TWO_SET_OF_SHARED_CPU_CORES,30,-,0,1,0,-
TWO_SET_OF_SHARED_CPU_CORES,35,-,0,9,106,-
TWO_SET_OF_SHARED_CPU_CORES,39,-,0,7,136,-
FOUR_SET_OF_SHARED_CPU_CORES,15,-,0,16,246,-
TWO_SET_OF_SHARED_CPU_CORES,30,-,0,3,16,-
TWO_SET_OF_SHARED_CPU_CORES,26,-,0,1,68,-
TWO_SET_OF_SHARED_CPU_CORES,45,-,0,-,4,-
TWO_SET_OF_SHARED_CPU_CORES,50,-,0,1,0,-
TWO_SET_OF_SHARED_CPU_CORES,43,-,0,7,4,-
TWO_SET_OF_SHARED_CPU_CORES,43,-,0,5,24,-
TWO_SET_OF_SHARED_CPU_CORES,50,-,0,4,36,-
FOUR_SET_OF_SHARED_CPU_CORES,85,-,0,-,374,-
FOUR_SET_OF_SHARED_CPU_CORES,61,-,0,-,35,-
FOUR_SET_OF_SHARED_CPU_CORES,36,-,0,-,3,-
FOUR_SET_OF_SHARED_CPU_CORES,71,-,0,-,10,-
TWO_SET_OF_SHARED_CPU_CORES,27,-,0,0,32,-
TWO_SET_OF_SHARED_CPU_CORES,40,-,0,2,20,-
FOUR_SET_OF_SHARED_CPU_CORES,33,-,0,2,60,-
FOUR_SET_OF_SHARED_CPU_CORES,50,-,0,-,152,-
FOUR_SET_OF_SHARED_CPU_CORES,46,-,0,-,176,-
TWO_SET_OF_SHARED_CPU_CORES,32,-,0,1,34,-
TWO_SET_OF_SHARED_CPU_CORES,40,-,0,7,98,-
TWO_SET_OF_SHARED_CPU_CORES,43,-,0,6,110,-
TWO_SET_OF_SHARED_CPU_CORES,42,-,0,4,74,-
TWO_SET_OF_SHARED_CPU_CORES,39,-,0,6,86,-
TWO_SET_OF_SHARED_CPU_CORES,41,-,0,7,86,-
TWO_SET_OF_SHARED_CPU_CORES,44,-,0,6,44,-
TWO_SET_OF_SHARED_CPU_CORES,38,-,0,8,142,-
TWO_SET_OF_SHARED_CPU_CORES,44,-,0,3,30,-
TWO_SET_OF_SHARED_CPU_CORES,43,-,0,4,66,-
TWO_SET_OF_SHARED_CPU_CORES,49,-,0,3,74,-
TWO_SET_OF_SHARED_CPU_CORES,45,-,0,2,58,-
TWO_SET_OF_SHARED_CPU_CORES,39,-,0,8,138,-
TWO_SET_OF_SHARED_CPU_CORES,45,-,0,4,102,-
TWO_SET_OF_SHARED_CPU_CORES,44,-,0,5,42,-
TWO_SET_OF_SHARED_CPU_CORES,37,-,0,7,98,-
TWO_SET_OF_SHARED_CPU_CORES,39,-,0,8,30,-
TWO_SET_OF_SHARED_CPU_CORES,32,-,0,13,90,-
TWO_SET_OF_SHARED_CPU_CORES,27,-,0,20,146,-
FOUR_SET_OF_SHARED_CPU_CORES,50,-,0,-,20,-
TWO_SET_OF_SHARED_CPU_CORES,34,-,0,2,112,-
TWO_SET_OF_SHARED_CPU_CORES,30,-,0,5,124,-
TWO_SET_OF_SHARED_CPU_CORES,46,-,0,-,12,-
TWO_SET_OF_SHARED_CPU_CORES,47,-,0,3,18,-
TWO_SET_OF_SHARED_CPU_CORES,45,-,0,5,20,-
TWO_SET_OF_SHARED_CPU_CORES,47,-,0,3,12,-
TWO_SET_OF_SHARED_CPU_CORES,42,-,0,3,4,-
FOUR_SET_OF_SHARED_CPU_CORES,21,-,0,21,182,-
TWO_SET_OF_SHARED_CPU_CORES,11,-,0,28,308,-
TWO_SET_OF_SHARED_CPU_CORES,28,-,0,3,40,-
TWO_SET_OF_SHARED_CPU_CORES,29,-,0,2,12,-
TWO_SET_OF_SHARED_CPU_CORES,34,-,0,16,4,-
TWO_SET_OF_SHARED_CPU_CORES,34,-,0,11,228,-
TWO_SET_OF_SHARED_CPU_CORES,43,-,0,6,28,-
TWO_SET_OF_SHARED_CPU_CORES,33,-,0,1,20,-
TWO_SET_OF_SHARED_CPU_CORES,20,-,0,-,340,-
TWO_SET_OF_SHARED_CPU_CORES,35,-,0,8,148,32
TWO_SET_OF_SHARED_CPU_CORES,24,-,0,0,76,-
TWO_SET_OF_SHARED_CPU_CORES,28,-,0,0,2,-
TWO_SET_OF_SHARED_CPU_CORES,22,-,0,2,32,-
TWO_SET_OF_SHARED_CPU_CORES,25,-,0,2,68,-
-,-,-,0,14,480,-
-,-,-,0,14,480,-
TWO_SET_OF_SHARED_CPU_CORES,28,-,0,13,158,-
DEDICATED_CPU_CORES,-,-,0,14,480,64
TWO_SET_OF_SHARED_CPU_CORES,34,-,0,6,64,-
TWO_SET_OF_SHARED_CPU_CORES,41,-,0,0,72,-
TWO_SET_OF_SHARED_CPU_CORES,30,-,0,3,30,-
-,-,-,0,60,479,-
TWO_SET_OF_SHARED_CPU_CORES,40,-,0,5,120,-
TWO_SET_OF_SHARED_CPU_CORES,30,-,0,18,252,-
TWO_SET_OF_SHARED_CPU_CORES,29,-,0,13,168,-
TWO_SET_OF_SHARED_CPU_CORES,43,-,0,4,86,-
TWO_SET_OF_SHARED_CPU_CORES,51,-,0,5,32,-
SHARED_CPU_CORES,-,-,0,0,460,-
TWO_SET_OF_SHARED_CPU_CORES,46,-,0,2,16,-
TWO_SET_OF_SHARED_CPU_CORES,46,-,0,3,0,-
TWO_SET_OF_SHARED_CPU_CORES,60,-,0,15,240,-
TWO_SET_OF_SHARED_CPU_CORES,43,-,0,3,48,-
TWO_SET_OF_SHARED_CPU_CORES,46,-,0,2,16,-
SHARED_CPU_CORES,-,-,0,47,476,-
TWO_SET_OF_SHARED_CPU_CORES,32,-,0,-,20,-
TWO_SET_OF_SHARED_CPU_CORES,40,-,0,-,160,-
TWO_SET_OF_SHARED_CPU_CORES,40,-,0,-,160,-
TWO_SET_OF_SHARED_CPU_CORES,50,-,0,1,144,-
TWO_SET_OF_SHARED_CPU_CORES,37,-,0,2,40,-
TWO_SET_OF_SHARED_CPU_CORES,36,-,0,4,36,-
FOUR_SHARED_AND_DEDICATED,-,-,0,60,479,64
